FUEL_TANK_CENTER_LEVEL                   → ['Percent of maximum capacity', b'FUEL TANK CENTER LEVEL', b'Percent Over 100', 'Y']
FUEL_TANK_CENTER2_LEVEL                  → ['Percent of maximum capacity', b'FUEL TANK CENTER2 LEVEL', b'Percent Over 100', 'Y']
FUEL_TANK_CENTER3_LEVEL                  → ['Percent of maximum capacity', b'FUEL TANK CENTER3 LEVEL', b'Percent Over 100', 'Y']
FUEL_TANK_LEFT_MAIN_LEVEL                → ['Percent of maximum capacity', b'FUEL TANK LEFT MAIN LEVEL', b'Percent Over 100', 'Y']
FUEL_TANK_LEFT_AUX_LEVEL                 → ['Percent of maximum capacity', b'FUEL TANK LEFT AUX LEVEL', b'Percent Over 100', 'Y']
FUEL_TANK_LEFT_TIP_LEVEL                 → ['Percent of maximum capacity', b'FUEL TANK LEFT TIP LEVEL', b'Percent Over 100', 'Y']
FUEL_TANK_RIGHT_MAIN_LEVEL               → ['Percent of maximum capacity', b'FUEL TANK RIGHT MAIN LEVEL', b'Percent Over 100', 'Y']
FUEL_TANK_RIGHT_AUX_LEVEL                → ['Percent of maximum capacity', b'FUEL TANK RIGHT AUX LEVEL', b'Percent Over 100', 'Y']
FUEL_TANK_RIGHT_TIP_LEVEL                → ['Percent of maximum capacity', b'FUEL TANK RIGHT TIP LEVEL', b'Percent Over 100', 'Y']
FUEL_TANK_EXTERNAL1_LEVEL                → ['Percent of maximum capacity', b'FUEL TANK EXTERNAL1 LEVEL', b'Percent Over 100', 'Y']
FUEL_TANK_EXTERNAL2_LEVEL                → ['Percent of maximum capacity', b'FUEL TANK EXTERNAL2 LEVEL', b'Percent Over 100', 'Y']
FUEL_TANK_CENTER_CAPACITY                → ['Maximum capacity in volume', b'FUEL TANK CENTER CAPACITY', b'Gallons', 'N']
FUEL_TANK_CENTER2_CAPACITY               → ['Maximum capacity in volume', b'FUEL TANK CENTER2 CAPACITY', b'Gallons', 'N']
FUEL_TANK_CENTER3_CAPACITY               → ['Maximum capacity in volume', b'FUEL TANK CENTER3 CAPACITY', b'Gallons', 'N']
FUEL_TANK_LEFT_MAIN_CAPACITY             → ['Maximum capacity in volume', b'FUEL TANK LEFT MAIN CAPACITY', b'Gallons', 'N']
FUEL_TANK_LEFT_AUX_CAPACITY              → ['Maximum capacity in volume', b'FUEL TANK LEFT AUX CAPACITY', b'Gallons', 'N']
FUEL_TANK_LEFT_TIP_CAPACITY              → ['Maximum capacity in volume', b'FUEL TANK LEFT TIP CAPACITY', b'Gallons', 'N']
FUEL_TANK_RIGHT_MAIN_CAPACITY            → ['Maximum capacity in volume', b'FUEL TANK RIGHT MAIN CAPACITY', b'Gallons', 'N']
FUEL_TANK_RIGHT_AUX_CAPACITY             → ['Maximum capacity in volume', b'FUEL TANK RIGHT AUX CAPACITY', b'Gallons', 'N']
FUEL_TANK_RIGHT_TIP_CAPACITY             → ['Maximum capacity in volume', b'FUEL TANK RIGHT TIP CAPACITY', b'Gallons', 'N']
FUEL_TANK_EXTERNAL1_CAPACITY             → ['Maximum capacity in volume', b'FUEL TANK EXTERNAL1 CAPACITY', b'Gallons', 'N']
FUEL_TANK_EXTERNAL2_CAPACITY             → ['Maximum capacity in volume', b'FUEL TANK EXTERNAL2 CAPACITY', b'Gallons', 'N']
FUEL_LEFT_CAPACITY                       → ['Maximum capacity in volume', b'FUEL LEFT CAPACITY', b'Gallons', 'N']
FUEL_RIGHT_CAPACITY                      → ['Maximum capacity in volume', b'FUEL RIGHT CAPACITY', b'Gallons', 'N']
